,Site,Date,Hour,Direction,Volume
0,9,2016-02-27,1,NORTHBOUND,326
1,9,2016-02-27,1,SOUTHBOUND,332
2,9,2016-02-27,2,NORTHBOUND,280
3,9,2016-02-27,2,SOUTHBOUND,353
4,9,2016-02-27,3,NORTHBOUND,177
5,9,2016-02-27,3,SOUTHBOUND,218
6,9,2016-02-27,4,NORTHBOUND,155
7,9,2016-02-27,4,SOUTHBOUND,193
8,9,2016-02-27,5,NORTHBOUND,156
9,9,2016-02-27,5,SOUTHBOUND,166
10,9,2016-02-27,6,NORTHBOUND,208
11,9,2016-02-27,6,SOUTHBOUND,168
12,9,2016-02-27,7,NORTHBOUND,478
13,9,2016-02-27,7,SOUTHBOUND,291
14,9,2016-02-27,8,NORTHBOUND,851
15,9,2016-02-27,8,SOUTHBOUND,536
16,9,2016-02-27,9,NORTHBOUND,1232
17,9,2016-02-27,9,SOUTHBOUND,906
18,9,2016-02-27,10,NORTHBOUND,1427
19,9,2016-02-27,10,SOUTHBOUND,1075
20,9,2016-02-27,11,NORTHBOUND,1419
21,9,2016-02-27,11,SOUTHBOUND,1158
22,9,2016-02-27,12,NORTHBOUND,1380
23,9,2016-02-27,12,SOUTHBOUND,1284
24,9,2016-02-27,13,NORTHBOUND,1419
25,9,2016-02-27,13,SOUTHBOUND,1360
26,9,2016-02-27,14,NORTHBOUND,1409
27,9,2016-02-27,14,SOUTHBOUND,1436
28,9,2016-02-27,15,NORTHBOUND,1281
29,9,2016-02-27,15,SOUTHBOUND,1219
30,9,2016-02-27,16,NORTHBOUND,1159
31,9,2016-02-27,16,SOUTHBOUND,1254
32,9,2016-02-27,17,NORTHBOUND,1216
33,9,2016-02-27,17,SOUTHBOUND,1198
34,9,2016-02-27,18,NORTHBOUND,1054
35,9,2016-02-27,18,SOUTHBOUND,1105
36,9,2016-02-27,19,NORTHBOUND,915
37,9,2016-02-27,19,SOUTHBOUND,1004
38,9,2016-02-27,20,NORTHBOUND,1263
39,9,2016-02-27,20,SOUTHBOUND,923
40,9,2016-02-27,21,NORTHBOUND,1289
41,9,2016-02-27,21,SOUTHBOUND,1106
42,9,2016-02-27,22,NORTHBOUND,1114
43,9,2016-02-27,22,SOUTHBOUND,938
44,9,2016-02-27,23,NORTHBOUND,748
45,9,2016-02-27,23,SOUTHBOUND,819
46,9,2016-02-27,24,NORTHBOUND,605
47,9,2016-02-27,24,SOUTHBOUND,794
48,9,2016-02-28,1,NORTHBOUND,470
49,9,2016-02-28,1,SOUTHBOUND,565
