Site,Location,Comments,Road_Class,MajorMinor,OSGRX,OSGRY,Lat,Lng,Borough,Lane_1,Lane_2,Notes,origin_coords,destination_coords,
6,A205 Dulwich Common SE21,,Trunk,Major,533814,173302,51.44291,-0.075969,Southwark,E,,Single carriage,"51.441096, -0.091337","51.443176, -0.068165",
,,,,,,,,,,W,,Single carriage,"51.443176, -0.068165","51.441096, -0.091337",
7,A10 Great Cambridge Road,,Trunk,Major,534235,195426,51.641623,-0.061484,Enfield,N,,Dual carriage,"51.630101, -0.078119","51.648928, -0.060280",
,,,,,,,,,,S,,Dual carriage,"51.648917, -0.060050","51.629984, -0.077983",
9,"A316 Twickenham Rd, Richmond",,Trunk,Major,517347,175002,51.461837,-0.312228,Richmond,S,,Single carriage,"51.464808, -0.301316","51.457363, -0.321922",
,,,,,,,,,,N,,Single carriage,"51.457363, -0.321922","51.464911, -0.301383",
11,"A208 Royal Parade, Chislehurst",,Principal,Major,544577,170033,51.410894,0.077459,Bromley,S,,Single carriage,"51.412394, 0.074307","51.408873, 0.080016",
,,,,,,,,,,N,,Single carriage,"51.408873, 0.080016","51.412394, 0.074307",
14,A2209 Deptford Church St SE8,,Principal,Major,537362,177048,51.475724,-0.023496,Lewisham,N,,Single to dual,"51.472864, -0.023511","51.480493, -0.023176",
,,,,,,,,,,S,,Single to dual,"51.480488, -0.023045","51.472864, -0.023511",
15,"A117 High St South, E.Ham E6",,Principal,Major,542730,183019,51.52805,0.05616,Newham,N,,Single carriage,"51.523847, 0.057492","51.532952, 0.054622",
,,,,,,,,,,S,,Single carriage,"51.532952, 0.054622","51.523847, 0.057492",
17,"A1004 High St, Southgate N14",,Principal,Major,529688,193964,51.629551,-0.127699,Enfield,S,,Single carriage,"51.632044, -0.127495","51.627224, -0.125838",
,,,,,,,,,,N,,Single carriage,"51.627224, -0.125838","51.632044, -0.127495",
19,"A5109 Deansbrook Rd, Edgware",,Principal,Major,520017,191413,51.608769,-0.268224,Barnet,W,,Single carriage,"51.609211, -0.266018","51.607025, -0.274752",
,,,,,,,,,,E,,Single carriage,"51.607025, -0.274752","51.609211, -0.266018",
20,"A123 High Street, Barkingside",Only direction 2,Principal,Major,544418,190184,51.592002,0.083417,Redbridge,,S,Single carriage,"51.593391, 0.084886","51.588546, 0.080849",
22,"A2022 Downs Court Road, Purley",,Principal,Major,532035,160878,51.331677,-0.106167,Croydon,N,,Single carriage,"51.330485, -0.103624","51.334681, -0.112172",
,,,,,,,,,,S,,Single carriage,"51.334681, -0.112172","51.330485, -0.103624",
23,A203 Stockwell Road SW9,,Principal,Major,530778,176002,51.467883,-0.11863,Lambeth,N,,,"51.465985, -0.116685","51.472303, -0.122215",
,,,,,,,,,,S,,,"51.472303, -0.122215","51.465985, -0.116685",
25,"A1112 Rainham Rd South, Dag'm",,Principal,Major,550302,184937,51.54332,0.166052,Bark&Dag,W- given,N,,"51.540941, 0.165441","51.546386, 0.164830",
,,,,,,,,,,E - given,S,,"51.546386, 0.164830","51.540941, 0.165441",**North or south - which is right?
27,A112 Plaistow Road E15,,Principal,Major,539984,183380,51.531981,0.016744,Newham,E,,,"51.534114, 0.011569","51.529626, 0.023882",
,,,,,,,,,,W,,,"51.529626, 0.023882","51.534114, 0.011569",
29,"A310 Twickenham Rd, Isleworth",,Principal,Major,515968,174992,51.462031,-0.332072,Hounslow,N,,,"51.456628, -0.330568","51.467568, -0.329526",
,,,,,,,,,,S,,,"51.467568, -0.329526","51.456628, -0.330568",
31,A5200 Brecknock Road N7,,Principal,Major,529586,185363,51.552281,-0.132344,Cam & Isltn,N,,,"51.550891, -0.130694","51.554019, -0.134811",
,,,,,,,,,,S,,,"51.554019, -0.134811","51.550891, -0.130694",
33,A215 Herne Hill SE24,,Principal,Major,532108,174594,51.454921,-0.10002,Lam & Swrk,N,,,"51.453062, -0.101031","51.457030, -0.096361",
,,,,,,,,,,S,,,"51.457030, -0.096361","51.453062, -0.101031",
