Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
5022,5022,1457413210,631,86,63,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,5,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,65,25WESTBOUND,65,10,1.18867924528,10.0158730159,13.3333333333,12.0377358491,884,1038,0.0735294117647,13.2616333262
5023,5023,1457413210,638,79,56,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,5,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,65,25WESTBOUND,65,3,1.05660377358,11.3928571429,13.3333333333,12.0377358491,884,1038,0.0735294117647,13.2616333262
5024,5024,1457416807,631,86,63,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,6,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,257,25WESTBOUND,257,10,1.18867924528,10.0158730159,13.3333333333,12.0377358491,884,1038,0.2907239819,12.2942204864
5025,5025,1457416808,638,79,66,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,6,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,257,25WESTBOUND,257,13,1.24528301887,9.66666666667,13.3333333333,12.0377358491,884,1038,0.2907239819,12.2942204864
5026,5026,1457420407,631,86,95,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,7,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,425,25WESTBOUND,425,42,1.79245283019,6.64210526316,13.3333333333,12.0377358491,884,1038,0.480769230769,10.8300791028
5027,5027,1457420408,638,79,66,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,7,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,425,25WESTBOUND,425,13,1.24528301887,9.66666666667,13.3333333333,12.0377358491,884,1038,0.480769230769,10.8300791028
5028,5028,1457424007,631,86,123,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,8,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,612,25WESTBOUND,612,70,2.32075471698,5.13008130081,13.3333333333,12.0377358491,884,1038,0.692307692308,9.01333333333
5029,5029,1457424008,638,79,88,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,8,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,612,25WESTBOUND,612,35,1.66037735849,7.25,13.3333333333,12.0377358491,884,1038,0.692307692308,9.01333333333
5030,5030,1457427608,631,86,134,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,9,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,813,25WESTBOUND,813,81,2.52830188679,4.70895522388,13.3333333333,12.0377358491,884,1038,0.919683257919,7.22353906327
5031,5031,1457427608,638,79,124,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,9,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,813,25WESTBOUND,813,71,2.33962264151,5.14516129032,13.3333333333,12.0377358491,884,1038,0.919683257919,7.22353906327
5032,5032,1457431208,631,86,88,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,10,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,632,25WESTBOUND,632,35,1.66037735849,7.17045454545,13.3333333333,12.0377358491,884,1038,0.714932126697,8.82343111352
5033,5033,1457431209,638,79,73,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,10,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,632,25WESTBOUND,632,20,1.37735849057,8.7397260274,13.3333333333,12.0377358491,884,1038,0.714932126697,8.82343111352
5034,5034,1457434808,631,86,82,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,11,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,655,25WESTBOUND,655,29,1.54716981132,7.69512195122,13.3333333333,12.0377358491,884,1038,0.740950226244,8.60766367529
5035,5035,1457434808,638,79,83,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,11,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,655,25WESTBOUND,655,30,1.56603773585,7.68674698795,13.3333333333,12.0377358491,884,1038,0.740950226244,8.60766367529
5036,5036,1457438411,631,86,80,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,12,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,655,25WESTBOUND,655,27,1.50943396226,7.8875,13.3333333333,12.0377358491,884,1038,0.740950226244,8.60766367529
5037,5037,1457438412,638,79,77,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,12,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,655,25WESTBOUND,655,24,1.45283018868,8.28571428571,13.3333333333,12.0377358491,884,1038,0.740950226244,8.60766367529
5038,5038,1457442011,631,86,88,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,13,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,674,25WESTBOUND,674,35,1.66037735849,7.17045454545,13.3333333333,12.0377358491,884,1038,0.762443438914,8.43177431137
5039,5039,1457442011,638,79,81,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,13,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,674,25WESTBOUND,674,28,1.52830188679,7.87654320988,13.3333333333,12.0377358491,884,1038,0.762443438914,8.43177431137
5040,5040,1457445609,631,86,77,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,14,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,726,25WESTBOUND,726,24,1.45283018868,8.19480519481,13.3333333333,12.0377358491,884,1038,0.821266968326,7.96267369337
5041,5041,1457445609,638,79,88,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,14,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,726,25WESTBOUND,726,35,1.66037735849,7.25,13.3333333333,12.0377358491,884,1038,0.821266968326,7.96267369337
5042,5042,1457449212,631,86,90,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,15,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,850,25WESTBOUND,850,37,1.69811320755,7.01111111111,13.3333333333,12.0377358491,884,1038,0.961538461538,6.92800409941
5043,5043,1457449212,638,79,104,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,15,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,850,25WESTBOUND,850,51,1.96226415094,6.13461538462,13.3333333333,12.0377358491,884,1038,0.961538461538,6.92800409941
5044,5044,1457452809,631,86,146,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,16,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,893,25WESTBOUND,893,93,2.75471698113,4.32191780822,13.3333333333,12.0377358491,884,1038,1.01018099548,6.59913885467
5045,5045,1457452809,638,79,146,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,16,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,893,25WESTBOUND,893,93,2.75471698113,4.3698630137,13.3333333333,12.0377358491,884,1038,1.01018099548,6.59913885467
5046,5046,1457456408,631,86,114,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,17,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,984,25WESTBOUND,984,61,2.15094339623,5.5350877193,13.3333333333,12.0377358491,884,1038,1.11312217195,5.95493048761
5047,5047,1457456408,638,79,163,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,17,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,984,25WESTBOUND,984,110,3.07547169811,3.91411042945,13.3333333333,12.0377358491,884,1038,1.11312217195,5.95493048761
5048,5048,1457460008,631,86,146,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,18,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,968,25WESTBOUND,968,93,2.75471698113,4.32191780822,13.3333333333,12.0377358491,884,1038,1.09502262443,6.06315658799
5049,5049,1457460008,638,79,173,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,18,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,968,25WESTBOUND,968,120,3.2641509434,3.68786127168,13.3333333333,12.0377358491,884,1038,1.09502262443,6.06315658799
5050,5050,1457463607,631,86,102,51.540941,0.1654404,51.5463879,0.1648352,Major,Bark&Dag,W,N,,08/03/2016,19,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,816,25WESTBOUND,816,49,1.92452830189,6.1862745098,13.3333333333,12.0377358491,884,1038,0.923076923077,7.19914802982
5051,5051,1457463608,638,79,93,51.5463879,0.1648352,51.540941,0.1654404,,,W,S,,08/03/2016,19,WESTBOUND,25,"A1112 Rainham Rd South, Dag'm",W,Principal,1.0,1650.0,48.0,816,25WESTBOUND,816,40,1.75471698113,6.86021505376,13.3333333333,12.0377358491,884,1038,0.923076923077,7.19914802982
