Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
4356,4356,1457326809,759,72,67,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,5,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,24,22SOUTHBOUND,24,11,1.19642857143,11.328358209,13.3333333333,13.5535714286,249,387,0.0963855421687,13.2106045352
4357,4357,1457330408,759,72,67,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,6,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,93,22SOUTHBOUND,93,11,1.19642857143,11.328358209,13.3333333333,13.5535714286,249,387,0.373493975904,11.7010615711
4358,4358,1457334009,759,72,68,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,7,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,295,22SOUTHBOUND,295,12,1.21428571429,11.1617647059,13.3333333333,13.5535714286,249,387,1.18473895582,5.5472199482
4359,4359,1457337606,759,72,73,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,8,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,223,22SOUTHBOUND,223,17,1.30357142857,10.397260274,13.3333333333,13.5535714286,249,387,0.895582329317,7.39890808198
4360,4360,1457341207,759,72,76,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,9,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,251,22SOUTHBOUND,251,20,1.35714285714,9.98684210526,13.3333333333,13.5535714286,249,387,1.00803212851,6.61333418665
4361,4361,1457344807,759,72,72,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,10,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,290,22SOUTHBOUND,290,16,1.28571428571,10.5416666667,13.3333333333,13.5535714286,249,387,1.16465863454,5.65827749297
4362,4362,1457348410,759,72,73,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,11,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,256,22SOUTHBOUND,256,17,1.30357142857,10.397260274,13.3333333333,13.5535714286,249,387,1.0281124498,6.48188368866
4363,4363,1457352010,759,72,73,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,12,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,249,22SOUTHBOUND,249,17,1.30357142857,10.397260274,13.3333333333,13.5535714286,249,387,1.0,6.66666666667
4364,4364,1457355610,759,72,82,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,13,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,226,22SOUTHBOUND,226,26,1.46428571429,9.25609756098,13.3333333333,13.5535714286,249,387,0.907630522088,7.31077053689
4365,4365,1457359210,759,72,65,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,14,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,241,22SOUTHBOUND,241,9,1.16071428571,11.6769230769,13.3333333333,13.5535714286,249,387,0.967871485944,6.88429573125
4366,4366,1457362810,759,72,67,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,15,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,230,22SOUTHBOUND,230,11,1.19642857143,11.328358209,13.3333333333,13.5535714286,249,387,0.923694779116,7.19471545069
4367,4367,1457366410,759,72,72,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,16,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,297,22SOUTHBOUND,297,16,1.28571428571,10.5416666667,13.3333333333,13.5535714286,249,387,1.19277108434,5.50349510685
4368,4368,1457370011,759,72,82,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,17,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,311,22SOUTHBOUND,311,26,1.46428571429,9.25609756098,13.3333333333,13.5535714286,249,387,1.24899598394,5.20835170928
4369,4369,1457373610,759,72,71,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,18,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,296,22SOUTHBOUND,296,15,1.26785714286,10.6901408451,13.3333333333,13.5535714286,249,387,1.18875502008,5.52530795297
4370,4370,1457377208,759,72,71,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,19,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,294,22SOUTHBOUND,294,15,1.26785714286,10.6901408451,13.3333333333,13.5535714286,249,387,1.18072289157,5.5692313911
4371,4371,1457380810,759,72,73,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,20,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,257,22SOUTHBOUND,257,17,1.30357142857,10.397260274,13.3333333333,13.5535714286,249,387,1.03212851406,6.45591565795
4372,4372,1457384406,759,72,66,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,21,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,156,22SOUTHBOUND,156,10,1.17857142857,11.5,13.3333333333,13.5535714286,249,387,0.626506024096,9.57503735363
4373,4373,1457388008,759,72,69,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,07/03/2016,22,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,151,22SOUTHBOUND,151,13,1.23214285714,11.0,13.3333333333,13.5535714286,249,387,0.606425702811,9.74835499163
4379,4379,1457413209,759,72,64,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,08/03/2016,5,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,23,22SOUTHBOUND,23,8,1.14285714286,11.859375,13.3333333333,13.5535714286,249,387,0.0923694779116,13.2205341436
4380,4380,1457416806,759,72,67,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,08/03/2016,6,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,86,22SOUTHBOUND,86,11,1.19642857143,11.328358209,13.3333333333,13.5535714286,249,387,0.345381526104,11.9123305042
4381,4381,1457420406,759,72,70,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,08/03/2016,7,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,295,22SOUTHBOUND,295,14,1.25,10.8428571429,13.3333333333,13.5535714286,249,387,1.18473895582,5.5472199482
4382,4382,1457424006,759,72,73,51.3346809,-0.1121724,51.3304849,-0.1036242,,,S,,Single carriage,08/03/2016,8,SOUTHBOUND,22,"A2022 Downs Court Road, Purley",S,Principal,1.0,1650.0,48.0,234,22SOUTHBOUND,234,17,1.30357142857,10.397260274,13.3333333333,13.5535714286,249,387,0.939759036145,7.08034636039
