Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
5755,5755,1457326811,1001,160,110,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,5,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,54,27EASTBOUND,54,15,1.15789473684,9.1,13.3333333333,10.5368421053,554,660,0.0974729241877,13.2078459724
5756,5756,1457330410,1001,160,121,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,6,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,115,27EASTBOUND,115,26,1.27368421053,8.27272727273,13.3333333333,10.5368421053,554,660,0.207581227437,12.7825343625
5757,5757,1457334010,1001,160,154,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,7,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,177,27EASTBOUND,177,59,1.62105263158,6.5,13.3333333333,10.5368421053,554,660,0.319494584838,12.0983705105
5758,5758,1457337608,1001,160,172,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,8,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,322,27EASTBOUND,322,77,1.81052631579,5.81976744186,13.3333333333,10.5368421053,554,660,0.581227436823,9.96642312064
5759,5759,1457341209,1001,160,219,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,9,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,532,27EASTBOUND,532,124,2.30526315789,4.57077625571,13.3333333333,10.5368421053,554,660,0.960288808664,6.93666022533
5760,5760,1457344809,1001,160,138,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,10,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,419,27EASTBOUND,419,43,1.45263157895,7.25362318841,13.3333333333,10.5368421053,554,660,0.756317689531,8.48167546501
5761,5761,1457348412,1001,159,147,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,11,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,377,27EASTBOUND,377,52,1.54736842105,6.80952380952,13.3333333333,10.5368421053,554,660,0.680505415162,9.11314753161
5762,5762,1457352012,1001,159,161,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,12,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,402,27EASTBOUND,402,66,1.69473684211,6.21739130435,13.3333333333,10.5368421053,554,660,0.725631768953,8.73434076098
5763,5763,1457355612,1001,159,156,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,13,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,436,27EASTBOUND,436,61,1.64210526316,6.41666666667,13.3333333333,10.5368421053,554,660,0.787003610108,8.23363084459
5764,5764,1457359212,1001,159,193,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,14,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,468,27EASTBOUND,468,98,2.03157894737,5.18652849741,13.3333333333,10.5368421053,554,660,0.84476534296,7.78076079654
5765,5765,1457362812,1001,159,165,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,15,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,476,27EASTBOUND,476,70,1.73684210526,6.06666666667,13.3333333333,10.5368421053,554,660,0.859205776173,7.67061799115
5766,5766,1457366412,1001,159,215,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,16,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,595,27EASTBOUND,595,120,2.26315789474,4.65581395349,13.3333333333,10.5368421053,554,660,1.07400722022,6.19149566048
5767,5767,1457370013,1001,159,270,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,17,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,614,27EASTBOUND,614,175,2.84210526316,3.70740740741,13.3333333333,10.5368421053,554,660,1.1083032491,5.98353784308
5768,5768,1457373612,1001,159,354,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,18,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,551,27EASTBOUND,551,259,3.72631578947,2.82768361582,13.3333333333,10.5368421053,554,660,0.994584837545,6.70286549487
5769,5769,1457377210,1001,159,437,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,19,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,471,27EASTBOUND,471,342,4.6,2.29061784897,13.3333333333,10.5368421053,554,660,0.850180505415,7.73930810057
5770,5770,1457380812,1001,159,156,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,20,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,448,27EASTBOUND,448,61,1.64210526316,6.41666666667,13.3333333333,10.5368421053,554,660,0.808664259928,8.06156836479
5771,5771,1457384408,1001,159,162,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,21,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,450,27EASTBOUND,450,67,1.70526315789,6.17901234568,13.3333333333,10.5368421053,554,660,0.812274368231,8.03314645267
5772,5772,1457388010,1001,159,128,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,07/03/2016,22,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,357,27EASTBOUND,357,33,1.34736842105,7.8203125,13.3333333333,10.5368421053,554,660,0.64440433213,9.42113967132
5778,5778,1457413211,1001,159,116,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,08/03/2016,5,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,56,27EASTBOUND,56,21,1.22105263158,8.62931034483,13.3333333333,10.5368421053,554,660,0.101083032491,13.1984742344
5779,5779,1457416808,1001,159,115,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,08/03/2016,6,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,105,27EASTBOUND,105,20,1.21052631579,8.70434782609,13.3333333333,10.5368421053,554,660,0.189530685921,12.8709834005
5780,5780,1457420408,1001,159,144,51.534111,0.0115665,51.5296297,0.023886,Major,Newham,E,,,08/03/2016,7,EASTBOUND,27,A112 Plaistow Road E15,E,Principal,1.0,1650.0,48.0,170,27EASTBOUND,170,49,1.51578947368,6.95138888889,13.3333333333,10.5368421053,554,660,0.306859205776,12.185879569
