ATC Site,Direction,Function,R2adj
11,N,sat-delay,0.38
11,S,sat-delay,0.54
15,N,sat-delay,0.68
15,S,sat-delay,0.53
19,E,sat-delay,0.73
19,W,sat-delay,0.46
22,N,sat-delay,0.44
22,S,sat-delay,0.49
25,W,sat-delay,0.64
27,E,sat-delay,0.53
27,W,sat-delay,0.4
31,N,sat-delay,0.36
31,S,sat-delay,0.47
33,N,sat-delay,0.49
33,S,sat-delay,0.53
35,N,sat-delay,0.59
35,S,sat-delay,0.52
36,S,sat-delay,0.32
39,N,sat-delay,0.029
39,S,sat-delay,0.015
40,E,sat-delay,0.5
40,W,sat-delay,0.6
43,E,sat-delay,0.58
43,W,sat-delay,0.11
66,N,sat-delay,0.6
66,S,sat-delay,0.62
67,N,sat-delay,0.069
67,S,sat-delay,0.28
68,E,sat-delay,0.62
68,W,sat-delay,0.0027
9,N,sat-delay,0.16
9,S,sat-delay,0.071
11,N,sat-speed,0.71
11,S,sat-speed,0.72
15,N,sat-speed,0.76
15,S,sat-speed,0.76
19,E,sat-speed,0.84
19,W,sat-speed,0.74
22,N,sat-speed,0.59
22,S,sat-speed,0.55
25,W,sat-speed,0.7
27,E,sat-speed,0.75
27,W,sat-speed,0.45
31,N,sat-speed,0.54
31,S,sat-speed,0.53
33,N,sat-speed,0.63
33,S,sat-speed,0.72
35,N,sat-speed,0.77
35,S,sat-speed,0.7
36,S,sat-speed,0.33
39,N,sat-speed,0.032
39,S,sat-speed,0.026
40,E,sat-speed,0.59
40,W,sat-speed,0.68
43,E,sat-speed,0.56
43,W,sat-speed,0.12
66,N,sat-speed,0.76
66,S,sat-speed,0.71
67,N,sat-speed,0.099
67,S,sat-speed,0.4
68,E,sat-speed,0.72
68,W,sat-speed,0.0035
9,N,sat-speed,0.45
9,S,sat-speed,0.28
